title,address,image,link
Hoppers,"77 Wigmore Street, W1U 1QE",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/14tohv8klsseadg1.undefined,/restaurant/14tohv8klsseac68-hoppers-marylebone-london-halal-food-restaurant
ICCO,"46 Goodge Street, W1T 4LU",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/lxxrmklfgovg8k.jpeg,/restaurant/rdymty36ke95zwmo-icco-fitzrovia-london-halal-food-delivery-restaurant-menu
Imad’s,"Kingly Court, W1B 5PW",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/5bm6j9nks6cnhnh.jpg,/restaurant/1j9tmmnkrw410xq-imads-carnaby-street-london-halal-food-delivery-restaurant-menu
Kai,"65 South Audley Street, W1K 2QU",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/uq3iauklkiyx6u9.jpeg,/restaurant/1epvmlcneekx6-kai-mayfair-london-halal-food-restaurant
Kanada-Ya,,https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/99jxyimlb5f7rug.jpg,/restaurant/gj72xxml9zgk9ui-kanada-ya-soho-london-halal-food-restaurant
Koshari Street,"56 St Martin's Lane, WC2N 4EA",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/m8jewklg0xr5qq.undefined,/restaurant/m8jewklg0xr3zc-koshari-street-leicester-square-london-halal-food-restaurant
Macellaio RC,"39-45 Shaftesbury Avenue, W1D 6LA",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/118p8wklf56rnos.jpeg,/restaurant/118p8wklf56qp83-macellaio-rc-soho-london-halal-food-restaurant
Madhu's,"21 Piccadilly, W1J 0BH",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/5y6boksn7p5eq.jpg,/restaurant/a1pfnkqmgxwa1-madhus-mayfair-london-halal-food-delivery-restaurant-menu
Nando's,"113 Baker Street, W1U 6RS",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/a5lnksdi4hsm.jpg,/restaurant/rdymty36ke95zwlj-nandos-marylebone-london-halal-food-delivery-restaurant-menu
Novikov,"50A Berkeley Street, W1J 8HA",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/5hspjnks8ted5o.jpg,/restaurant/rdymty36ke95zgxk-novikov-mayfair-london-halal-food-delivery-restaurant-menu
Ong Ong Buns,"Seven Dials Market, WC2H 9LD",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/6f1klgui3ujz.jpeg,/restaurant/1h0jgqhklebsabgu-ong-ong-buns-covent-garden-london-halal-food-restaurant
Patty&Bun,"18 Old Compton Street, W1D 4TN",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/137r2fokxngb6pz.jpg,/restaurant/2rqrokxj0fewa-patty-and-bun-soho-london-halal-food-delivery-restaurant-menu
Patty&Bun,"22-24 Liverpool Street, EC2M 7PD",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/jnl948nol41kvgxd.jpg,/restaurant/agecrol3h1j5v6-pattyandbun-liverpool-street-london-halal-food-restaurant
Pelican State,"30-32 Brunswick Centre, WC1N 1AE",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/j6a1hokxtds8yw.jpg,/restaurant/13jknaokx1neyxa-pelican-state-bloomsbury-london-halal-food-delivery-restaurant-menu
Ping Pong,"29A James Street, W1U 1DZ",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/ae220aklmde5kcy.undefined,/restaurant/ae220aklmde5iwe-ping-pong-marylebone-london-halal-food-restaurant
Randy's Wing Bar,,https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/11fpkbnksg8vykr.jpg,/restaurant/rdymty36ke96014d-randys-wing-bar-tower-hill-london-halal-food-delivery-restaurant-menu
Real Beijing,"46 Gerrard Street, W1D 5QH",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/e65zokubluf5s.jpg,/restaurant/e65zokublp96q-real-beijing-chinatown-london-halal-food-delivery-restaurant-menu
Rosa's Thai,"15-17 Caledonian Road, N1 9DX",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/1227d4klgxlvpyy.undefined,/restaurant/1227d4klgxlvp9e-rosas-thai-kings-cross-london-halal-food-restaurant
Roti King,"40 Doric Way, NW1 1LH",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/kunknv01w16.jpg,/restaurant/rdymty36ke95zk3h-roti-king-kings-cross-london-halal-food-delivery-restaurant-menu
Simple Health Kitchen,,https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/5m6plklfxhq0cr.jpeg,/restaurant/rdymty36ke95zyj6-simple-health-kitchen-st-pauls-london-halal-food-delivery-restaurant-menu
Solis,"Battersea Power Station, SW11 8AL",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/cffshkm1pb2ttw.undefined,/restaurant/cffshkm1pb2sn5-solis-battersea-london-halal-food-restaurant
Stax Diner,"Kingly Court, W1B 5PW",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/1hd98okwp7wu4z.jpg,/restaurant/rdymty36ke95zh5j-stax-diner-carnaby-london-halal-food-delivery-restaurant-menu
Swiss Butter,"114 Southampton Row, WC1B 5AA",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/dkhklp3y9zob.undefined,/restaurant/dkhklp3y9xto-swiss-butter-holborn-london-halal-food-restaurant
Turpan,"108 Great Russell Street, WC1B 3NA",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/1zpup2nkrw6ddcu.png,/restaurant/rdymty44ke965hn6-turpan-bloomsbury-london-halal-food-delivery-restaurant-menu
Uzumaki,"107 Great Russell Street, WC1B 3NA",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/ewhpdol78zl2nq.jpg,/restaurant/ccol6dhdtbe-uzumaki-bloomsbury-london-halal-food-restaurant
Uzumaki,"6 Holborn Viaduct, EC1A 2AE",https://halaljoints.s3.eu-west-2.amazonaws.com/v0-restaurant-thumbs/5bm6j9nks6cw9vr.jpg,/restaurant/1d7dnkgwkpku6-uzumaki-holborn-holborn-london-halal-food-delivery-restaurant-menu
